tanggal,waktu,username,quote_count,reply_count,retweet_count,favorite_count,steming_data,translated_steming_data,sentiment_polarity,sentiment,translate
Mon Apr 29,08:49:01,Zer0Failed,5,15.0,214,276,kondisi tebet eco park revitalisasi resmi anies rasyid baswedan kondisi prihatin,The condition of Tebet Eco Park Official Revitalization Anies Rasyid Baswedan Concerned Conditions,0.0,negatif,
Mon Apr 29,06:54:23,trustissuesel,0,0.0,0,3,kondisi tebet eco park revitalisasi resmi anies rasyid baswedan kondisi prihatin banyak jentikjentik nyamuk bau sedap air sungai tebet eco park warga unjung taman nyaman,Condition of Tebet Eco Park Official Revitalization of Anies Rasyid Baswedan The condition of concerned is a lot of mosquito larvae of the smell of the tebet eco river water.,0.0,negatif,
Sun Apr 28,13:57:37,kakakyudi3108,0,1.0,0,0,menteri tahan republik indonesia anies rasyid baswedan,Minister of Resistant of the Republic of Indonesia Anies Rasyid Baswedan,0.0,negatif,
Sun Apr 28,12:19:33,Alam12Palito,0,0.0,0,0,we anies rasyid baswedan for indonesia ubah amin,We Anies Rasyid Baswedan for Indonesia Change Amin,0.0,negatif,
Sun Apr 28,10:20:08,genkx25,0,0.0,0,0,anies rasyid baswedan,Anies Rasyid Baswedan,0.0,negatif,
Sun Apr 28,07:00:45,afrisudedi,0,0.0,0,1,ngabisin anies baswedan malaikat maut kesal anies rasyid baswedan presiden ri,spending anies baswedan angels of death annoyed Anies Rasyid Baswedan President of the Republic of Indonesia,-0.4,negatif,
Sun Apr 28,04:11:30,jarnas_dki,0,0.0,0,2,syawaaln nasional anies rasyid baswedan,Sywaaln National Anies Rasyid Baswedan,0.0,negatif,
Sat Apr 27,16:25:32,mahdimhmmad,0,0.0,0,0,rasyid anies rasyid baswedan zar,Rasyid Anies Rasyid Baswedan Zar,0.0,negatif,
Sat Apr 27,13:58:57,rafiteajk,0,0.0,0,0,saran anies rasyid baswedan kabinet presiden prabowosemua tri ya barubarubaru sila terima orang lamayaah,"Suggestions Anies Rasyid Baswedan Presidential Cabinet Prabowosemua Tri Ya Barubarubaru, please accept the lamayaah people",0.0,negatif,
Sat Apr 27,12:46:50,DandyMa98365493,0,0.0,0,0,gubernur menteri anies rasyid baswedan,Governor Minister Anies Rasyid Baswedan,0.0,negatif,
Sat Apr 27,10:38:31,Simanjunta9Nico,0,1.0,0,3,prediksi arah politik anies rasyid baswedan oposisi menteri mana anies baswedan oposisi menteri prediksi anies baswedan jakarta,Prediction of Anies Political Direction Rasyid Baswedan Opposition Minister Where Anies Baswedan Opposition Minister Anies Baswedan Jakarta Prediction,0.0,negatif,
