tanggal,waktu,username,quote_count,reply_count,retweet_count,favorite_count,steming_data,translated_steming_data,sentiment_polarity,sentiment,translate
Sun Apr 28,15:25:18,saerozi63,0,1.0,0,2,cak imin surya paloh iya pirsa budiman main sandiwara politikkasian hanies rasyid baswedan negeri laku nama jujur ahlak duit kuasa paham iya,Cak Imin Surya Paloh yes PIRSA BUDIMAN PLAYS POLITICALS HANIES RASYID BASWEDAN COUNTRY NAME HONEST NAME AHLAK MONEY POWER UNDERSTAND YES,0.6,positif,
Sun Apr 28,15:13:14,cecepcahya108,0,0.0,0,0,tolong diplintir sampai anies rasyid baswedan tanggal april ucap selamat jalan konstitusi selamat menang,please twist until Anies Rasyid Baswedan on April said goodbye constitution happy wins,0.55,positif,
Sun Apr 28,08:03:23,TahirDeky12809,0,1.0,0,1,serah pks nasdem pkb gabung sila sajatapi rawan dukung setia perubhan setia abah anies rasyid baswedantetap pikir jernih warassssss,Handover of PKS NasDem PKB Joining Sila Salajatapi Prone Supporting Setia Perubhan Setia Abah Anies Rasyid BaswedanTap Thinking Clear Warassssss,0.175,positif,
Sun Apr 28,08:01:39,TahirDeky12809,0,1.0,2,3,serah pks nasdem pkb gabung sila sajatapi rawan dukung setia perubhan setia abah anies rasyid baswedantetap pikir jernih warassssss,Handover of PKS NasDem PKB Joining Sila Salajatapi Prone Supporting Setia Perubhan Setia Abah Anies Rasyid BaswedanTap Thinking Clear Warassssss,0.175,positif,
Sun Apr 28,07:58:13,TahirDeky12809,0,0.0,1,9,serah pks nasdem pkb gabung sila sajatapi rawan dukung setia perubhan setia abah anies rasyid baswedantetap pikir jernih warassssss,Handover of PKS NasDem PKB Joining Sila Salajatapi Prone Supporting Setia Perubhan Setia Abah Anies Rasyid BaswedanTap Thinking Clear Warassssss,0.175,positif,
Sun Apr 28,07:57:17,TahirDeky12809,0,0.0,0,7,serah pks nasdem pkb gabung sila sajatapi rawan dukung setia perubhan setia abah anies rasyid baswedantetap pikir jernih warassssss,Handover of PKS NasDem PKB Joining Sila Salajatapi Prone Supporting Setia Perubhan Setia Abah Anies Rasyid BaswedanTap Thinking Clear Warassssss,0.175,positif,
Sat Apr 27,15:40:55,AbiAdri6809,0,0.0,0,0,insyaaallooh beliau anies rasyid baswedan istikamah jalur dukung ubah apa hasil ajang pilpres haqul baik beliau,"God willing, he is Anies Rasyid Baswedan Istikamah The pathway for changing what the results of the Haqul presidential election are good",0.475,positif,
Sat Apr 27,15:10:38,Amira79770872,0,1.0,1,5,tolong plintir sampai anies rasyid baswedan tanggal april garis bawah ucap anis selamat jalan amanat konstitusi selamat menang,Please Plintir Until Anies Rasyid Baswedan on April Lower Outline Said Anis Wander of the Constitutional Mandate Congratulations Winning,0.5,positif,
Sat Apr 27,09:14:20,kotaksegiempat,0,0.0,0,0,jadul ketaker umur sepuh anies rasyid baswedan anak abah,old school old age of old age Anies Rasyid Baswedan Anak Abah,0.1,positif,
Sat Apr 27,03:40:46,RAFIFTAQIROBBA1,0,0.0,0,1,juang kenal sektor kanan kiri medan juang anies rasyid baswedan,Fighting Knowing the right left sector Medan Juang Anies Rasyid Baswedan,0.1428571428571428,positif,
Sat Apr 27,00:59:12,yakult_cholee,0,0.0,0,0,tuju banget moga partai langsung masuk parlemen amien iya allah mudah langkah anies rasyid baswedan,really agree that the party directly entered the parliament amen yes Allah is easy for Anies Rasyid Baswedan's steps,0.2444444444444444,positif,
Fri Apr 26,18:16:37,Raju89755360,0,1.0,0,1,bikin partai cinta abah tinggal tunggu tuju abah abah anies rasyid baswedan kenan moga ikhlas beliau jalar sabang merauke amin ya robbalalamiin,Make the Love Party Abah just waiting for the purpose of Abah Abah Anies Rasyid Baswedan Kenan Moga Sincere Sabang Merauke Amin ya Robbalalamiin,0.5,positif,
Fri Apr 26,17:20:12,AchsanKhan,0,0.0,0,1,tuju dukung program cerdas hidup bangsa real live moga sehat sukses anies rasyid baswedan abah amin yra,"The aim is to support the intelligent life program of the real live nation, Moga Healthy Success Anies Rasyid Baswedan Abah Amin Yra",0.4511363636363636,positif,
Fri Apr 26,13:34:31,MNurBonar,0,0.0,1,32,beliau sosok iman cerdas santun wibawa jujur moga allah swt bimbing anies rasyid baswedan gabung serah beliau,He is the figure of the intelligent faith of the sight of the Honest Wibawa Moga Allah SWT guide Anies Rasyid Baswedan Join Him,0.7,positif,
Fri Apr 26,11:50:40,tempodotco,1,1.0,1,6,pkb nasdem gabung partai adil sejahtera usung anies rasyid baswedanmuhaimin iskandar pasang calon presiden kalah pilih presiden,PKB NasDem Join the Fair Prosperous Party Usung Anies Rasyid Baswedanmuhaimin Iskandar pairs of presidential candidates to lose the president,0.7,positif,
Fri Apr 26,08:56:13,dystyrn72,0,0.0,0,1,shaa allah anies rasyid baswedan muslim sejati istikamah komitmen kuat faham muslim sejati tidk suka beranda andai kun fayakun ya allah jadi beliau dar presiden khalifah amin amin amin,Shaa Allah Anies Rashid Baswedan Muslims True History Commitment Strong Muslim Understanding Until the Hall of Kun Fayakun Ya Allah so he is the President of the Caliph Amin Amin,0.3916666666666666,positif,
Fri Apr 26,08:35:37,NinikHari,0,0.0,0,0,takut banget sosok anies dunia tau anies rasyid baswedan masuk orang cerdas dunia paranoit surat nyata saing prestasi,Very scared of the figure of Anies in the world know Anies Rasyid Baswedan entered the smart people in the world of paranoit real letter competitive achievement,0.2047619047619047,positif,
Thu Apr 25,13:47:39,rafiteajk,0,2.0,0,10,tuju ayo dukung partai gera ubah tum anies rasyid baswedan sekjen gatot nurmantyo bendahara thomas lembong,Terju Let's Support the Gera Party Change Tum Anies Rasyid Baswedan Secretary General Gatot Nurmantyo Treasurer Thomas Lembong,0.05,positif,
Thu Apr 25,11:32:52,edikusmiadi,0,0.0,0,0,keren bangga abah abah anies rasyid baswedan makan siang menlu singapura he mr vivian balakrishnan dubes singapura he mr kwok fook seng moga kelak abah anies rasyid baswedan sekjen pbb,Cool Proud Abah Abah Anies Rasyid Baswedan Lunch Singapore Foreign Minister He Mr Vivian Balakrishnan Singapore Ambassador He Mr Kwok Fook Seng Moga Abah Anies Rasyid Baswedan Secretary General UN Secretary General UN,0.225,positif,
Thu Apr 25,08:08:10,P_S_F_OFFICIAL,0,0.0,0,1,dukung mas ajak surat nyata anies rasyid baswedan libat perintah form surat nyata siap tuju likeamprt,Support Mas Invite Anies Rasyid Baswedan's Real Letter to Cultivate Real Letter Forms Ready to Go to Likeamprt,0.2,positif,
Thu Apr 25,08:06:59,Presiden_PKR,0,0.0,0,2,dukung mas ajak surat nyata anies rasyid baswedan libat perintah form surat nyata siap tuju likeamprt,Support Mas Invite Anies Rasyid Baswedan's Real Letter to Cultivate Real Letter Forms Ready to Go to Likeamprt,0.2,positif,
Thu Apr 25,02:14:23,AdriantoSukmo,0,0.0,0,0,sih anies senang sekar nama presiden anies rasyid baswedan singkat parb biar senang,"Anies is happy, the name of President Anies Rasyid Baswedan briefly Parb to be happy",0.5333333333333333,positif,
Thu Apr 25,01:23:58,batavianboy,0,0.0,0,0,menang allah kalah allah lindung anies rasyid baswedan,Winning Allah Lose God Protection Anies Rasyid Baswedan,0.5,positif,
Wed Apr 24,15:45:08,EkaPrasiska12,0,0.0,0,1,bangga baris ubah anies rasyid baswedan kuat manfaat sebanyakbanyaknya,proud to change Anies Rasyid Baswedan Strong Benefits as much as possible,0.4111111111111111,positif,
Wed Apr 24,09:05:53,siantana_,0,0.0,7,102,negarawan sejati tegak lurus konstitusi politik ikhlas anies rasyid baswedan,True statesman is perpendicular to the political constitution of sincere Anies Rasyid Baswedan,0.2833333333333333,positif,
Wed Apr 24,08:44:28,bengkeldodo,0,1.0,0,0,hadir giat subiyanto anies rasyid baswedan muhaimin iskandar ketua sekjend partai politik prabowoajak semuaelemen menujumasa depanemas,"Present were present Subiyanto Anies Rasyid Baswedan Muhaimin Iskandar, Chairperson of Secretary General of Political Party Prabowoaks, all of them",0.0125,positif,
Wed Apr 24,08:17:18,zarryhendrik,0,0.0,2,28,hormat bangga cinta saudara anies rasyid baswedan saudara muhaimin iskandar,respect proud of the love of Brother Anies Rasyid Baswedan Brother Muhaimin Iskandar,0.65,positif,
Wed Apr 24,08:12:40,Sima1Syaifuddin,0,0.0,0,0,anies rasyid baswedan is the best,Anies Rasyid Baswedan is the best,1.0,positif,
Wed Apr 24,03:16:54,dancersejati07,1,1.0,7,22,capres anies sedia hadir undang sarasehan dpd ri jumat februari capres anies rasyid baswedan kenan anies pakai jaket hitam capres anies keren nomor gulingkanrezimgarong gulingkanrezimgarong,Candidate Anies is available to invite the DPD RI Workshop on Friday February Presidential Candidate Anies Rasyid Baswedan Kenan Anies wearing a black Anies Candidate Jacket Cool Numbers Rolling Numbers.,0.1944444444444444,positif,
Wed Apr 24,01:10:55,MIFTAHF72868283,0,0.0,0,0,gabung om ajak anies rasyid baswedan ting menang tampak,Join Om invite Anies Rasyid Baswedan Ting to win.,0.8,positif,
Wed Apr 24,01:03:11,apo_subhan,0,0.0,0,1,lbp anggap rakyat indonesia cocok tanam aneh banget gandeng masyarakat dki jakarta program gubernur anies rasyid baswedan,LBP assumed that the Indonesian people were very suitable for planting strangely handling the people of DKI Jakarta Governor Anies Rasyid Baswedan program,0.3325,positif,
Tue Apr 23,19:15:42,yusufagro,55,881.0,457,2451,dukung mas ajak surat nyata anies rasyid baswedan libat perintah form surat nyata siap tuju likeamprt,Support Mas Invite Anies Rasyid Baswedan's Real Letter to Cultivate Real Letter Forms Ready to Go to Likeamprt,0.2,positif,
Tue Apr 23,15:08:03,dznprttygrl_,0,0.0,0,0,once again bangga tau dukung salah orang jadi motivasi anies rasyid baswedan,Once again is proud to know to support one of the motivations of Anies Rasyid Baswedan,0.8,positif,
Tue Apr 23,13:56:08,juli_indrianto,0,0.0,0,1,bangga dukung abah anies rasyid baswedan,Proud to Support Abah Anies Rasyid Baswedan,0.8,positif,
Tue Apr 23,01:01:07,AfnanDannie,0,0.0,0,1,allah selamat anies rasyid baswedan cak muhaimin iskandar,Allah Happy Anies Rasyid Baswedan Cak Muhaimin Iskandar,0.8,positif,
Sun Apr 21,10:58:11,dytarii,0,0.0,1,1,jidah doa jodoh spesifik mau naik standar tinggi allah maha tau iya langsung iya allah jodoh kayak anies rasyid baswedan mohon cerah bah,"jidah prayer specifications specifically want to rise the high standard of Allah, yes, yes, yes, yes, God's match like Anies Rasyid Baswedan, please be bright",0.2866666666666667,positif,
Sun Apr 21,08:18:38,fthefallmoon_,0,0.0,0,0,hubung besok umum phpu gugat kabul moga abah anies tim legowo hasil arah dukung legowo ya bah sehatsehat abah anies rasyid baswedan,CONCLUSION Tomorrow General PHPU Sugges Kabul Moga Abah Anies Team Legowo As a result of the direction of supporting Legowo yes Healthy ABAH Anies Rasyid Baswedan,0.2666666666666666,positif,
Fri Apr 19,11:50:35,dwi_cahyonod,0,0.0,0,0,hati salah situ letak mahal tunjuk allah taala iya allah kalah menang menang kalah indonesia damai presiden ri anies rasyid baswedan cc indonesiadamai,the heart is one of the expensive locations of Allah Ta'ala Oh God loses winning to win Indonesia's peaceful Indonesian President Anies Rasyid Baswedan CC Indonesia.,0.15,positif,
Fri Apr 19,10:08:40,alfatih212426,11,129.0,575,1817,dukung langkah p anies rasyid baswedan tegak benar jujur adil masyarakat indonesia adil makmur sejahtera pan takut suara benar ubah moga allah lindung panies juang,"Support the steps of Anies Rasyid Baswedan upright truly honestly, the Fair Indonesian people are just prosperous prosperous.",0.6499999999999999,positif,
Fri Apr 19,07:16:08,NurSiya45639980,0,0.0,0,2,berisik lo sch lo goreng anies rasyid baswedan enak beliau amal jalur fitnah,"Noisy, you fried Anies Rasyid Baswedan, he was good",0.7,positif,
Fri Apr 19,06:49:49,Ikalel_Eotas,0,0.0,0,0,susah gerombol mabuk kuasa hobi halusinasi mulu pedenya gueeedee banget pikir anies rasyid baswedan,"hard to gang up with a powerful hobby of hallucinations, I really think Anies Rasyid Baswedan",0.0694444444444444,positif,
Fri Apr 19,00:46:12,FatkhuRoza97280,0,0.0,0,0,min kelas anies rasyid baswedan gubernur pimpin bangsa insyaallah ijin ridho ya pimpin negeri dunia allah swt buat skenario allahu akbar subhanallah alhamdulillah,"min class Anies Rasyid Baswedan Governor Lead the nation, God willing, permission to be blessing, lead the world of the world of Allah SWT for the scenario of Allahu Akbar Subhanallah Alhamdulillah",0.25,positif,
Tue Apr 16,14:14:38,TurnBackHoax,0,0.0,1,0,tanggal maret kpu umum anies muhaimin menang pilpres dasar informasi resmi kait fakta pasang anies rasyid baswedanmuhaimin iskandar menang provinsi aceh sumatera barat lengkap,March Date General KPU Anies Muhaimin won the basic presidential election of official information hooks the pairs of Anies Rasyid Baswedanmuhaimin Iskandar Winning in Aceh Province Complete Sumatra Province,0.1625,positif,
Sun Apr 14,00:45:45,bbjkdj4,0,1.0,0,0,rakyat cinta anies rasyid baswedan,People of Love Anies Rasyid Baswedan,0.5,positif,
Sat Apr 13,23:24:10,BudiSantoso308,0,0.0,0,0,barokallohu fiikum ya amirul mukminin anies rasyid baswedan wa ummul mukminin ferry farhati wa awladukuma weso much and were very grateful that allah bestowed us national leaders like you both allahumma shalli ala muhammad wa aali muhammad,barokallohu fiikum ya amirul believers anies rashid baswedan wa ummul believers ferry farhati wa awladukuma weso much and were very grateful that Allah bestowed us national leaders like you both Allahumma shalli ala Muhammad wa aali Muhammad,0.2,positif,
Sat Apr 13,15:43:36,ednasbobhair,0,0.0,0,0,keren banget anies rasyid baswedan,Very cool Anies Rasyid Baswedan,0.4549999999999999,positif,
Sat Apr 13,12:02:37,ubahpedia,0,0.0,9,74,mari gaung gera ubah usung langsung anies rasyid baswedan tanam modal tahu damping dunia cerdas salam ubahpedia team,Let's Gaung Gera Change Anies Rasyid Baswedan Directly Planting Tofu Capital Planting the Smart World Salam Daggedia Team,0.1571428571428571,positif,
Fri Apr 12,23:03:09,UnpetitG,0,0.0,0,3,iya bp anies rasyid baswedan jawab bukti beliau pimpin dki jakarta aman tentram damai,"Yes, BP Anies Rasyid Baswedan Answer Evidence he Leads DKI Jakarta Safe Peaceful",0.375,positif,
Fri Apr 12,13:45:14,DjAchmad31,0,0.0,1,2,barokallah abah anies rasyid baswedan sehat ya pimpin negeri ku,Barokallah Abah Anies Rasyid Baswedan is healthy,0.5,positif,
Thu Apr 11,19:20:56,YusupAja772266,0,0.0,0,0,tuju presiden hasil curang milu tuju bpk anies rasyid baswedan presiden hasil suara rill pilih rakyat indonesia,"The president of the cheating results is the purpose of Mr. Anies Rasyid Baswedan, the president of the results of the real voice of the Indonesian people",0.2,positif,
Thu Apr 11,12:53:28,GaputraLut65121,0,0.0,0,1,aman damai tentram kagak kayak belah drama mal aidzin presiden anies rasyid baswedan,Safe Peaceful Peace is not like the drama Minal Aidin President Anies Rasyid Baswedan,0.375,positif,
Thu Apr 11,12:03:01,mul_yana16693,0,0.0,0,0,mal aidhin anies rasyid baswedan moga sehat,Mal Aidhin Anies Rasyid Baswedan Moga Healthy,0.5,positif,
Thu Apr 11,03:14:00,terduduki,0,0.0,0,0,gua penasaran aliyah rasyid baswedan ngedidik anak keluarga orang kayak anies,I was curious about Aliyah Rasyid Baswedan to educate the children of Anies rich families,0.1375,positif,
Wed Apr 10,04:54:18,RiyalP41913,0,0.0,0,0,insyaallah jalan allah anies rasyid baswedan presiden republik indonesia,"God willing, the way of Allah Anies Rasyid Baswedan President of the Republic of Indonesia",0.25,positif,
Wed Apr 10,02:16:51,OmarSan26260097,0,0.0,0,0,selamat idul fitri hijriah abah anies rasyid baswedan selamat lebaran bu ferry keluarga,Happy Eid al -Fitr Hijri Abah Anies Rasyid Baswedan Happy Eid Mrs. Ferry Family,0.8,positif,
Wed Apr 10,01:04:04,RiyalP41913,0,0.0,0,0,cerdas intelektual jujur iya allah presiden anies rasyid baswedan,"Intellectual Intelligence Honest Yes, Allah President Anies Rasyid Baswedan",0.4499999999999999,positif,
Tue Apr 09,22:50:19,iiqa7319,0,0.0,0,0,assalaamualaykum warahmatullahi wa barakaatuh akh anies rasyid baswedan moga allah jalla wa alaa senantiasa jaga mulia antum keluarga moga allah taaala tolong antum pimpin mukmin baarakallahu fiykum,Assalaamualaykum warahmatullahi wa barakaatuh akh anies rasyid baswedan hope Allah jalla wa alaa always guard the noble family Moga Allah Taaala helps to lead Mukmin Baarakallahu fiykum,0.6,positif,
Wed Apr 03,14:00:05,baronko_chole,0,0.0,1,4,anies rasyid baswedan milik rekam jejak pimpin kenal sosok milik integritas amanah cerdas berani anies milik mampu ubah inovatif pimpin krisis bijak cepat,"Anies Rasyid Baswedan owned by the track record of leading the figure of the figure of the integrity of the integrity of the smart mandate, Anies is able",0.3571428571428571,positif,
Tue Apr 02,11:15:10,fafa8fauziah,0,0.0,0,0,selamat layak presiden henti doa sempat sehat negeri indonesia pimpin anies rasyid baswedan,Congratulations on the President's worthy of the end of prayer to be healthy for the country of Indonesia leading Anies Rasyid Baswedan,0.4166666666666666,positif,
Tue Apr 02,04:12:05,KaixaVtuber,0,0.0,1,18,indonesia butuh pimpin adil jujur anies rasyid baswedan negara damai makmur sederhana no justice no peace,Indonesia Needs to Lead Honestly Adil Anies Rasyid Baswedan Peaceful State Makmur Simple No Justice No Peace,0.2833333333333333,positif,
Mon Apr 01,10:59:29,hani_titik,1,4.0,36,98,daftar tokoh intelektual duniasalah satuny anies rasyid baswedan urraaaaaa,List of Intellectual figures Worldwide Anies Rasyid Baswedan Urraaaaaa,0.3,positif,
Sun Mar 31,21:36:37,PerubahanAnies,0,0.0,0,3,pimpin guru teman bicara diskusi musyarawah curhatan rakyat tentu arah jalan gaul kalang bisaberempati merek anies rasyid baswedan,"Lead the teacher speaking the discussion of the Musyarawah Kukanatan Rakyat, of course the direction of the gaul road can be able to brand Anies Rasyid Baswedan",0.5,positif,
Sun Mar 31,19:49:56,juli_indrianto,0,0.0,0,0,alhamdulillah masya allah banget orangorang transfer pahala abah anies rasyid baswedan,"Alhamdulillah, Masya Allah is very transferred by the reward of Abah Anies Rasyid Baswedan",0.2,positif,
Fri Mar 29,23:01:50,MIFTAHF72868283,0,0.0,0,0,panggil bro biar bongkar akar hebat allah swt anies rasyid baswedan,"Call Bro, to dismantle the great roots of Allah SWT Anies Rasyid Baswedan",0.8,positif,
Wed Mar 27,00:35:11,LuckyLudjaina,0,0.0,0,2,kisah ri zaman firaun lihat orang nama anies rasyid baswedan musuh kuasa sbetulnya p menang menang anak rezim dibw panies mrrasa curang fihak menang bawa acara,The story in the Pharaoh era saw the name of the name Anies Rasyid Baswedan the enemy of the power was actually a winning child of the child of the regime dibw Panies mrrasa cheating fihak winning the event,0.5,positif,
Tue Mar 26,18:50:04,ahadnet392613,0,0.0,0,0,tulis orang sungguh nilai sosok fenomenal anies rasyid baswedan tokoh prestasi bersih berani indonesia,"Write people really the phenomenal value of Anies Rasyid Baswedan, the Figure of Clean Achievement in Indonesian",0.3555555555555555,positif,
Tue Mar 26,02:08:45,L_Man27,0,0.0,0,0,tenang protes kewalahan anies rasyid baswedan,calm down the protest overwhelmed by Anies Rasyid Baswedan,0.0722222222222222,positif,
Mon Mar 25,23:58:48,RinaldiSim42785,0,0.0,0,0,nyata jokowi junjung sang imam mahdi anies rasyid baswedan,Real Jokowi Junjung the Imam Mahdi Anies Rasyid Baswedan,0.2,positif,
Mon Mar 25,23:48:57,ToeanPlongo,0,0.0,0,0,lepas om anies nih orangn sawah nih hidup penuh bayangn wajah anies rasyid baswedan makan sonoh tong entar matiii lo mkan depresi,"Om Anies, this is a rice field, lives full of the shadow of Anies Rasyid Baswedan's face to eat Sonoh, Tong, then you are depressed",0.35,positif,
Mon Mar 25,19:24:26,pd_arief,0,0.0,0,0,betapa bangga lelaki anies rasyid baswedan sandang nama kakek pahlawan nasional juang merdeka indonesia tangan jajah moga allah swt terima amal ibadah lapang kubur pahlawan indonesia ar baswedan,How proud the man Anies Rasyid Baswedan Sandang Name of the National Heroes of the Fighting Heroes of Merdeka Indonesia Hands Jajah Moga Allah SWT accept the charity of the Indonesian heroes. Ar Baswedan,0.8,positif,
Mon Mar 25,19:19:33,pd_arief,0,0.0,0,0,betapa bangga lelaki anies rasyid baswedan sandang nama kakek pahlawan nasional juang merdeka indonesia tangan jajah moga allah swt terima amal ibadah lapang kubur pahlawan indonesia ar baswedan,How proud the man Anies Rasyid Baswedan Sandang Name of the National Heroes of the Fighting Heroes of Merdeka Indonesia Hands Jajah Moga Allah SWT accept the charity of the Indonesian heroes. Ar Baswedan,0.8,positif,
Mon Mar 25,16:23:43,Sophie99arch,0,0.0,1,1,sukasaya sukapak anies rasyid baswedan maju pantang mundur mbela benar amp adil bangsa amp negara,Sukasaya Sukapak Anies Rasyid Baswedan advanced never to withdraw Mbela true Amp Adil Nation Amp Negara,0.375,positif,
Mon Mar 25,11:55:32,AmisGado,0,0.0,0,0,iya hebat anies rasyid baswedan,yes great Anies Rasyid Baswedan,0.8,positif,
Sun Mar 24,15:53:13,alfatih212426,4,24.0,320,938,amanah romadhan anies rasyid baswedan anies tunjuk serah istikamah tegak amar mahruf nahi munkar bangkit juang kepal genggam tangan lawan tegas haq bathil campur,Amanah Romadhan Anies Rasyid Baswedan Anies pointed to the handover of the Istikamah upright amar mahruf nahi munkar rose to the grip of the opponent's firm hand -handed,0.1999999999999999,positif,
Sun Mar 24,04:27:04,imah_muslima27,0,0.0,0,2,karno iya ribu orang tua mimpi orang pemuda ubah dunia beliau anies rasyid baswedan,karno yes thousand parents dreams of young people changed the world he Anies Rasyid Baswedan,0.1,positif,
